Country_code,LEI_Code,Bank_name,Period,Item,Scenario,Fact_char,Amount
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213606,3,,-236.3305727
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213607,3,,-93.976207
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213608,2,,8.98845174
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213608,3,,-27.26480226
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213609,2,,4446.278075
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213609,3,,3819.402274
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213610,2,,-850.369956
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213610,3,,-2021.630456
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213611,2,,-3184.744111
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213611,3,,-3613.153661
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213612,2,,411.1640082
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213612,3,,-1815.381844
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213613,2,,-123.3492025
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213613,3,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213615,2,,287.8148058
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213615,3,,-1815.381844
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213616,2,,107.393105
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213616,3,,-4.16150406
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213617,2,,180.4217008
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213617,3,,-1811.22034
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213618,2,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213618,3,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213619,2,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213619,3,,4.77273945
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213701,2,,14662.25615
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213701,3,,12856.26606
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213702,2,,10878.17065
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213702,3,,9072.180557
